,corp_code,해당년도,기초현금및현금성자산,기말현금및현금성자산,영업이익,자산총계,현금및현금성자산,재무활동현금흐름,투자활동현금흐름,유동자산,유동부채,자본총계,자본과부채총계,자본금,부채총계,비유동자산,비유동부채,당기순이익,법인세비용차감전순이익,유형자산,이익잉여금,매출액
0,102353,2021,11916806544.0,18909274452.0,15096286389.0,413092863671.0,18909274452.0,-39544190987.0,-12339578285.0,115708744293.0,213535049556.0,70680781160.0,413092863671.0,17909502500.0,342412082511.0,297384119378.0,128877032955.0,6438611797.0,8326734025.0,277525423804.0,-21364952079.0,494508083202.0
1,102353,2022,18909274452.0,20325936499.0,16201044607.0,416582520010.0,20325936499.0,-36499988244.0,2839760802.0,128885223045.0,206117813389.0,103888769192.0,416582520010.0,17909502500.0,312693750818.0,287697296965.0,106575937429.0,24802178421.0,13274818890.0,263516544328.0,11137737378.0,540589307261.0
2,102353,2023,20325936499.0,26225481278.0,18526325478.0,417210902124.0,26225481278.0,-41371384680.0,-20781978372.0,129622302979.0,213331867130.0,113313341588.0,417210902124.0,17909502500.0,303897560536.0,287588599145.0,90565693406.0,10200104452.0,13102823917.0,243984791065.0,22891952312.0,588659442952.0
3,103510,2021,10874086161.0,6978212227.0,3795498615.0,371905270516.0,6978212227.0,2140742017.0,-19860286654.0,101629159059.0,152056130795.0,187153261997.0,371905270516.0,7666606500.0,184752008519.0,270276111457.0,32695877724.0,6822587375.0,6996586473.0,106986387852.0,165223405342.0,331623366657.0
4,103510,2022,6978212227.0,3724231276.0,12137395500.0,407278843063.0,3724231276.0,18221531898.0,-35294750659.0,121081220221.0,183223965022.0,195138954930.0,407278843063.0,7666606500.0,212139888133.0,286197622842.0,28915923111.0,8265739473.0,9783063385.0,109844121417.0,173582039799.0,382118463591.0
5,103510,2023,3724231276.0,2476290639.0,15378124314.0,438575542692.0,2476290639.0,-5641890799.0,-24648396925.0,150771851088.0,202601234129.0,204984378108.0,438575542692.0,7904598500.0,233591164584.0,287803691604.0,30989930455.0,11449115981.0,13054366362.0,108113486962.0,181162155169.0,407395094588.0
6,103635,2021,24192317959.0,33827028790.0,14147062522.0,,,13972898394.0,-10092975125.0,,,204225503545.0,,,,,,-9718771143.0,-4746311160.0,,,136952961341.0
7,103635,2022,33827028790.0,30630619358.0,19429033683.0,229511487689.0,30630619358.0,20281799913.0,-26430595320.0,89629337774.0,47132331255.0,173191372302.0,229511487689.0,45353348000.0,56320115387.0,139882149915.0,9187784132.0,-78527128047.0,-66696076651.0,30801563418.0,-12326626956.0,156105842503.0
8,103635,2023,30630619358.0,39077948609.0,13288158296.0,206142169858.0,39077948609.0,-5817341463.0,34768267268.0,114438863930.0,38054523057.0,166633838193.0,206142169858.0,45353348000.0,39508331665.0,91703305928.0,1453808608.0,-6131220291.0,6216151654.0,32448619089.0,-18884161065.0,133831380993.0
9,105040,2021,1328319042.0,14522726394.0,-111229616.0,78106063114.0,14522726394.0,26429754240.0,-11295969857.0,41205905977.0,41792735950.0,27704403134.0,78106063114.0,15022251000.0,50401659980.0,36900157137.0,8608924030.0,355135232.0,355135232.0,28509240411.0,107140208.0,57317955864.0
10,105040,2022,14522726394.0,3762241801.0,-8475538924.0,76715003328.0,3762241801.0,5829841530.0,-13498994326.0,30186300674.0,50411540641.0,18299054105.0,76715003328.0,15053581000.0,58415949223.0,46528702654.0,8004408582.0,-9632469826.0,-9632469826.0,37593307448.0,-9614703677.0,65810047071.0
11,105040,2023,3762241801.0,3842990236.0,-10853451440.0,70772418980.0,3842990236.0,7418346193.0,-681573276.0,23425874875.0,31020471085.0,31703658347.0,70772418980.0,25453581000.0,39068760633.0,47346544105.0,8048289548.0,-12827542067.0,-12827542067.0,38306635314.0,-22390505002.0,73172456729.0
12,105606,2021,59780293033.0,74740784312.0,-5801458934.0,419500175666.0,74740784312.0,-7088038328.0,23895622694.0,157652594123.0,84667440078.0,332536966854.0,419500175666.0,98402333000.0,86963208812.0,261847581543.0,2295768734.0,-29331665284.0,-28912329512.0,39235481268.0,54337160134.0,197311759927.0
13,105606,2022,74740784312.0,56333595449.0,6566132734.0,392135776623.0,56333595449.0,-9781636830.0,-15740514129.0,160494588652.0,67410322042.0,316639722747.0,392135776623.0,100586397000.0,75496053876.0,231641187971.0,8085731834.0,-22409188247.0,-17614520299.0,37769174095.0,24405880747.0,209082333197.0
14,105606,2023,56333595449.0,27560184986.0,-8043521242.0,367256670413.0,27560184986.0,1553040469.0,-17150418212.0,157639073725.0,88854729722.0,278003518214.0,367256670413.0,100588364500.0,89253152199.0,209617596688.0,398422477.0,-38840397109.0,-33862004444.0,38677145202.0,-14266949027.0,256235013984.0
15,111689,2021,2352677949.0,764180832.0,1078204340.0,94393900185.0,764180832.0,-970558379.0,-4780546445.0,42048289136.0,51045732643.0,34963670484.0,94393900185.0,23823187500.0,59430229701.0,52345611049.0,8384497058.0,-40457514.0,154085320.0,45931223911.0,-2581914233.0,99183663204.0
16,111689,2022,764180832.0,927614816.0,-5760515771.0,91241229943.0,927614816.0,4988624554.0,-10094697443.0,34389415714.0,54072412106.0,25658604045.0,91241229943.0,23823187500.0,65582625898.0,56851814229.0,11510213792.0,-8743986978.0,-8133772800.0,49307865465.0,-11817844301.0,100501934262.0
17,111689,2023,927614816.0,489109543.0,2038286352.0,94593219371.0,489109543.0,3461446157.0,-7529711746.0,36289721504.0,53379181320.0,27893784767.0,94593219371.0,24649885000.0,66699434604.0,58303497867.0,13320253284.0,229716397.0,451287712.0,47287080234.0,-12259630728.0,113444154855.0
18,111847,2021,180611180.0,102997459.0,8532044545.0,645824080773.0,102997459.0,-11879423921.0,-1609576065.0,162096542546.0,196747154141.0,418674854061.0,645824080773.0,31000000000.0,227149226712.0,483727538227.0,30402072571.0,7960232774.0,9592346774.0,291588268950.0,362736441427.0,619242799256.0
19,111847,2022,102997459.0,385123555.0,16849939205.0,688386355367.0,385123555.0,-19950831952.0,-20165465409.0,213511971895.0,236077281325.0,426985564859.0,688386355367.0,31000000000.0,261400790508.0,474874383472.0,25323509183.0,10606179753.0,6695667536.0,285351742997.0,381078343535.0,696217414550.0
20,111847,2023,385123555.0,500444477.0,26389277841.0,697660342495.0,500444477.0,-29803857863.0,-10677279444.0,216085364309.0,229695094278.0,447898327795.0,697660342495.0,31000000000.0,249762014700.0,481574978186.0,20066920422.0,28463921224.0,36433870425.0,284426457645.0,397865412307.0,758788824931.0
21,111874,2021,20296270143.0,150509876633.0,20607365423.0,467010870936.0,150509876633.0,-2526718000.0,82273313423.0,322179430679.0,102686371283.0,337728097143.0,467010870936.0,10018800000.0,129282773793.0,144831440257.0,26596402510.0,29089465023.0,45485992895.0,77550755173.0,328731770418.0,636336318824.0
22,111874,2022,150509876633.0,85255611709.0,32069061779.0,479327156425.0,85255611709.0,-2681067000.0,-53005999005.0,326988336937.0,90766969135.0,374306084887.0,479327156425.0,10018800000.0,105021071538.0,152338819488.0,14254102403.0,34147255686.0,46814543531.0,71985466948.0,366704854688.0,664162075369.0
23,111874,2023,85255611709.0,52585751374.0,42245113382.0,488277436328.0,52585751374.0,-4063580000.0,-96869421257.0,349162451624.0,71922433935.0,404944002637.0,488277436328.0,10018800000.0,83333433691.0,139114984704.0,11410999756.0,34667566693.0,47313019086.0,75134485793.0,394887928385.0,728422433495.0
24,112679,2021,22476329372.0,11130117873.0,18312012257.0,201583381846.0,11130117873.0,-2489338375.0,12762181558.0,133533774980.0,26644769720.0,173424163186.0,201583381846.0,14286115000.0,28159218660.0,68049606866.0,1514448940.0,15573263487.0,20916940122.0,31811831224.0,166268349029.0,283527611410.0
25,112679,2022,11130117873.0,24003013805.0,34727494583.0,250352084005.0,24003013805.0,-3794924937.0,-17329029550.0,152034344461.0,39593238101.0,201905128743.0,250352084005.0,14286115000.0,48446955262.0,98317739544.0,8853717161.0,31646295467.0,41272113606.0,30737259497.0,194749314586.0,318979682584.0
26,112679,2023,24003013805.0,16340629364.0,31343647413.0,249217250571.0,16340629364.0,-5949227935.0,-45254677431.0,154386405771.0,20972990319.0,226831399240.0,249217250571.0,14286115000.0,22385851331.0,94830844800.0,1412861012.0,29985713066.0,39700857564.0,29673443447.0,219675585083.0,277056227860.0
27,114154,2021,41277957727.0,46349921272.0,12846099068.0,436866724897.0,46349921272.0,-7012677892.0,-10395732355.0,297884998600.0,338517809418.0,49315683607.0,436866724897.0,16282490000.0,387551041290.0,138981726297.0,49033231872.0,1381053584.0,5078325910.0,98178860831.0,-10406899573.0,1295145745892.0
28,114154,2022,46349921272.0,26488208248.0,28926052675.0,458998822152.0,26488208248.0,2020141748.0,-6682667645.0,316307337993.0,362997803819.0,75496481434.0,458998822152.0,16282490000.0,383502340718.0,142691484159.0,20504536899.0,12895551159.0,19571425096.0,108396823937.0,6113006857.0,1523905821729.0
29,114154,2023,26488208248.0,36286187596.0,24721635800.0,543243010187.0,36286187596.0,-15138420148.0,-39376893744.0,386659243376.0,425365467843.0,84264596985.0,543243010187.0,16282490000.0,458978413202.0,156583766811.0,33612945359.0,10837369164.0,19135776560.0,127114787068.0,14708446294.0,1839599926929.0
30,114765,2021,3741182035.0,9453476397.0,-13768945596.0,392212189038.0,9453476397.0,10606021957.0,-12482582348.0,115259518808.0,177461052823.0,171161046810.0,392212189038.0,43608988500.0,221051142228.0,276952670230.0,43590089405.0,-2881483040.0,-7028311410.0,119129713196.0,92646707051.0,361613390732.0
31,114765,2022,9453476397.0,16612341370.0,16708727884.0,392045497296.0,16612341370.0,3275496526.0,-42680812829.0,134717109795.0,197973473813.0,181059300342.0,392045497296.0,50136508000.0,210986196954.0,257328387501.0,13012723141.0,6764124792.0,9040195877.0,100539754734.0,100431270721.0,398643442561.0
32,114765,2023,16612341370.0,14969998616.0,9312260427.0,455759646203.0,14969998616.0,-17005276115.0,-31651478896.0,184466554887.0,225783214669.0,190800181846.0,455759646203.0,55646515500.0,264959464357.0,271293091316.0,39176249688.0,5352264620.0,11418461242.0,99825377091.0,104010594177.0,434420932971.0
33,117726,2021,3931840881.0,1170432704.0,6140319595.0,287022420937.0,1170432704.0,-1207331937.0,-17818746422.0,122628264862.0,127124473565.0,104083098804.0,287022420937.0,6584230000.0,182939322133.0,164394156075.0,55814848568.0,2804998107.0,3894218861.0,77148742475.0,75165910380.0,294722119722.0
34,117726,2022,1170432704.0,7175054150.0,4278793336.0,284313688562.0,7175054150.0,-3626171943.0,-1901587345.0,137548798276.0,129894971459.0,106108645801.0,284313688562.0,6584230000.0,178205042761.0,146764890286.0,48310071302.0,-2354915863.0,-1832025690.0,76045483029.0,77191457377.0,323352648318.0
35,117726,2023,7175054150.0,5645110655.0,6881999585.0,282886944846.0,5645110655.0,-12482133210.0,-13334955916.0,132658231749.0,157103125084.0,99934518220.0,282886944846.0,6584230000.0,182952426626.0,150228713097.0,25849301542.0,653324023.0,302576843.0,83507950125.0,73993205406.0,351042355490.0
36,118008,2021,73912156.0,574006630.0,-2452017470.0,263248979999.0,574006630.0,-4086751766.0,-9747323649.0,65084650993.0,193785860681.0,22148381432.0,263248979999.0,23377466500.0,241100598567.0,198164329006.0,47314737886.0,-13580725238.0,-10934778614.0,85214496904.0,-22002541491.0,206340079773.0
37,118008,2022,574006630.0,1215866073.0,8066424669.0,262089704168.0,1215866073.0,-15932917889.0,-7706647.0,68807205412.0,179282179449.0,45689248840.0,262089704168.0,23377466500.0,216400455328.0,193282498756.0,37118275879.0,13919068717.0,12818680674.0,74120400263.0,-4778958374.0,191329181287.0
38,118008,2023,1215866073.0,949854347.0,17606084426.0,275231898095.0,949854347.0,-16550415896.0,-13089575471.0,76384358325.0,173639958863.0,68829349120.0,275231898095.0,23377466500.0,206402548975.0,198847539770.0,32762590112.0,12952340554.0,17227150937.0,70685239403.0,10823960240.0,271742150319.0
39,119140,2021,8844194281.0,20746573363.0,-31158356203.0,572108183496.0,20746573363.0,94812353346.0,1809234671.0,247898112101.0,315177182431.0,224324477254.0,572108183496.0,10931634000.0,347783706242.0,324210071395.0,32606523811.0,-38053893563.0,-47096183117.0,113992059328.0,117168192673.0,435819456346.0
40,119140,2022,20746573363.0,6129914892.0,-52229018181.0,613240166043.0,6129914892.0,11968068630.0,-9389440559.0,284391840940.0,411161305886.0,176023212298.0,613240166043.0,10931634000.0,437216953745.0,328848325103.0,26055647859.0,-51434879775.0,-62555556903.0,120799488767.0,68924011356.0,523431906660.0
41,119140,2023,6129914892.0,16323860944.0,-2053002561.0,784863188314.0,16323860944.0,35556321515.0,-14204834185.0,231895678695.0,438284840454.0,293843196608.0,784863188314.0,10937873500.0,491019991706.0,552967509619.0,52735151252.0,26165138674.0,26392940011.0,245422694256.0,92251395241.0,492889560894.0
42,119672,2021,17790464211.0,35599707401.0,17034964671.0,267050838506.0,35599707401.0,-9247133016.0,11646702652.0,134617119179.0,57046928740.0,160632046915.0,267050838506.0,82666700000.0,106418791591.0,132433719327.0,49371862851.0,12390207215.0,15575472106.0,21970024371.0,62579587942.0,226290449748.0
43,119672,2022,35599707401.0,21552817449.0,10840683857.0,287289681011.0,21552817449.0,-6568194717.0,-28372259635.0,143513040162.0,99282879809.0,171086391998.0,287289681011.0,82666700000.0,116203289013.0,143776640849.0,16920409204.0,14109027083.0,18488362827.0,22676895426.0,73033933025.0,227240329617.0
44,119672,2023,21552817449.0,23274151469.0,39930232947.0,298178461294.0,23274151469.0,-33099129020.0,23602645695.0,144531481652.0,80882263642.0,194759160074.0,298178461294.0,82666700000.0,103419301220.0,153646979642.0,22537037578.0,35403224608.0,43721860424.0,24253047921.0,103061759976.0,347778732729.0
45,125521,2021,74144099397.0,232558045281.0,132936985084.0,1733600072444.0,232558045281.0,-23820423861.0,-29784447913.0,1049202785302.0,336329134936.0,1335266256299.0,1733600072444.0,24101638500.0,398333816145.0,684397287142.0,62004681209.0,132488238434.0,195510987631.0,353465381130.0,825678744129.0,1994229561933.0
46,125521,2022,232558045281.0,200578090648.0,172143218140.0,1914532173596.0,200578090648.0,-21874133758.0,-116495352363.0,1062120520017.0,400733832370.0,1481042299112.0,1914532173596.0,23224260000.0,433489874484.0,852411653579.0,32756042114.0,163552127719.0,206431272332.0,380939990350.0,972142171599.0,2351608869278.0
47,125521,2023,200578090648.0,228668845794.0,178183426256.0,2150029621652.0,228668845794.0,-29295266405.0,-259534455544.0,1210853377239.0,463270673839.0,1655592226851.0,2150029621652.0,23224260000.0,494437394801.0,939176244413.0,31166720962.0,213685387267.0,261120427414.0,392721015383.0,1147579925046.0,2655510930000.0
48,125576,2021,2322256431.0,727490369.0,-4859215797.0,70121795924.0,727490369.0,-586360000.0,-1796830360.0,11354874213.0,30770942441.0,29336295338.0,70121795924.0,16000000000.0,40785500586.0,58766921711.0,10014558145.0,-3907526319.0,-3726459109.0,44268411676.0,-11721725238.0,24560185895.0
49,125576,2022,727490369.0,250552684.0,1548073254.0,77908176556.0,250552684.0,-1698630000.0,-3996740011.0,16676877730.0,34449655956.0,32231350911.0,77908176556.0,16000000000.0,45676825645.0,61231298826.0,11227169689.0,242079160.0,193586006.0,47972655483.0,-12269459287.0,38611924855.0
50,125576,2023,250552684.0,996624726.0,4302299650.0,75823157413.0,996624726.0,-1992820000.0,-4437459750.0,12970343893.0,31611272986.0,33639678929.0,75823157413.0,16000000000.0,42183478484.0,62852813520.0,10572205498.0,3355681232.0,3410257862.0,46124552457.0,-10610502208.0,27138602172.0
51,126201,2021,15496581120.0,9572198543.0,764578468.0,240400545451.0,9572198543.0,-671614240.0,-14403953249.0,151733490612.0,26939143095.0,211585098349.0,240400545451.0,4063157000.0,28815447102.0,88667054839.0,1876304007.0,-880114850.0,2257225193.0,11605229539.0,207057853990.0,69448758385.0
52,126201,2022,9572198543.0,19612226982.0,8050103783.0,253964959103.0,19612226982.0,-662264240.0,-4954247773.0,183193896722.0,29569243054.0,222678671331.0,253964959103.0,4063157000.0,31286287772.0,70771062381.0,1717044718.0,12962411597.0,17036385095.0,11611702996.0,218690635202.0,85239919918.0
53,126201,2023,19612226982.0,13349841219.0,3085401046.0,258908256801.0,13349841219.0,-2277800213.0,-13638178272.0,189794545887.0,22774348085.0,233729561249.0,258908256801.0,4063157000.0,25178695552.0,69113710914.0,2404347467.0,13082779740.0,15780660311.0,10668350735.0,230808034603.0,80437312355.0
54,129642,2021,13660037637.0,15612433775.0,17610287494.0,369529330581.0,15612433775.0,-4556817101.0,-15241743367.0,163837185433.0,146861730821.0,196811639279.0,369529330581.0,10735725000.0,172717691302.0,205692145148.0,25855960481.0,5851951287.0,10514685302.0,72723066000.0,184375973467.0,314642843752.0
55,129642,2022,15612433775.0,20620550264.0,26834891403.0,425929471211.0,20620550264.0,36753656896.0,-27282190314.0,205736939458.0,184770994446.0,211584933260.0,425929471211.0,10735725000.0,214344537951.0,220192531753.0,29573543505.0,11131495178.0,16665875058.0,86426676650.0,199070055909.0,373474665511.0
56,129642,2023,20620550264.0,17663974056.0,29418049642.0,437562487757.0,17663974056.0,-8466870688.0,-24398191094.0,190861405263.0,187421718198.0,224727553792.0,437562487757.0,10735725000.0,212834933965.0,246701082494.0,25413215767.0,14675909486.0,19383168144.0,91117636777.0,212277305357.0,396724057572.0
57,132992,2021,194730768291.0,146014702594.0,37635787292.0,1883662363779.0,146014702594.0,-37221610343.0,-103587408483.0,750540814380.0,613152863311.0,1036863744301.0,1883662363779.0,40000000000.0,846798619478.0,1133121549399.0,233645756167.0,29867195632.0,54643280918.0,398983881569.0,922650373201.0,1259189056367.0
58,132992,2022,146014702594.0,55215765724.0,92465631925.0,1943405169039.0,55215765724.0,-86628822181.0,-64652435453.0,829522599497.0,687568004397.0,1120636461047.0,1943405169039.0,40000000000.0,822768707992.0,1113882569542.0,135200703595.0,80695219263.0,119635917403.0,378662036491.0,1011977414084.0,1583239738582.0
59,132992,2023,55215765724.0,155044374140.0,138704463221.0,2141807662299.0,155044374140.0,-63460160558.0,-27899324498.0,1015577565014.0,674707362600.0,1238849758696.0,2141807662299.0,40000000000.0,902957903603.0,1126230097285.0,228250541003.0,136108447125.0,171118757612.0,356065222910.0,1126592768994.0,1704758620353.0
60,133663,2021,3932895546.0,4807835691.0,3027227276.0,92044977856.0,4807835691.0,2432655942.0,-4741894706.0,31199703287.0,47394615771.0,9364954947.0,92044977856.0,8729503500.0,82680022909.0,60845274569.0,35285407138.0,519094035.0,1311321996.0,50479179754.0,-26826107177.0,125781228470.0
61,133663,2022,4807835691.0,3887773453.0,10140026980.0,91576052839.0,3887773453.0,-8022717062.0,-11968450003.0,31485279746.0,44137580102.0,13907223499.0,91576052839.0,8729503500.0,77668829340.0,60090773093.0,33531249238.0,4421809675.0,5751856805.0,50380958375.0,-22222811425.0,147727151037.0
62,133663,2023,3887773453.0,3978933907.0,10551391402.0,97112561286.0,3978933907.0,-691041924.0,-10740895506.0,37751513318.0,38664953682.0,21652237589.0,97112561286.0,8828709500.0,75460323697.0,59361047968.0,36795370015.0,7742535695.0,8986425743.0,48641432750.0,-15007423287.0,158038605095.0
63,134316,2021,2205980236.0,7137133285.0,7618717467.0,289366966604.0,7137133285.0,-249998500.0,-11504443002.0,174086873769.0,14415965096.0,257640605466.0,289366966604.0,5000000000.0,31726361138.0,115280092835.0,17310396042.0,11472775877.0,11110558458.0,27722828957.0,250540605466.0,58380395755.0
64,134316,2022,7137133285.0,9931045752.0,4744808742.0,298109843945.0,9931045752.0,-316998500.0,-19266710988.0,185209221929.0,15747673925.0,266303462323.0,298109843945.0,5000000000.0,31806381622.0,112900622016.0,16058707697.0,7926238594.0,9739774250.0,25279763878.0,259203462323.0,55615777398.0
65,134316,2023,9931045752.0,6762014127.0,7706755442.0,394034647026.0,6762014127.0,-361998500.0,-14673817839.0,277404165935.0,38672097693.0,338717648285.0,394034647026.0,5000000000.0,55316998741.0,116630481091.0,16644901048.0,15160950958.0,19578012181.0,29035079465.0,274602305595.0,58348281690.0
66,134477,2021,39542616029.0,12610758921.0,22031643552.0,862694071467.0,12610758921.0,-25598323370.0,-2483311807.0,417139133631.0,110282312653.0,650490642544.0,862694071467.0,85631742500.0,212203428923.0,445554937836.0,101921116270.0,61763870062.0,83594817348.0,269426316845.0,623546942680.0,258982134498.0
